,Star_name,Distance,Mass,Radius,Gravity
50,Almaaz,653,2.9835e+31,97398000000.0,0.20989986846395964
51,Rasalgethi,360,5.5692e+30,194796000000.0,0.009795327194984781
52,Tau Ceti,11.9,1.557387e+30,621260100.0,269.29967110479345
53,Delta Pavonis,19.92,1.9710989999999998e+30,848754000.0,182.61269753187165
54,Ran,10.48,1.6309799999999997e+30,514818000.0,410.70254272616984
55,V382 Carinae,"8,900",3.978e+31,337414500000.0,0.023319728894426524
56,Eta Carinae,"7,500",1.989e+32,612911700000.0,0.035336632665075154
57,Delta Cephei,887,8.950499999999999e+30,30958650000.0,0.6232603088337749
58,Mu Cephei,"6,000",3.8188799999999997e+31,676220400000.0,0.005573726798954914
59,Titawin,44.25,2.52603e+30,1029636000.0,159.02202111653529
60,Rho Cassiopeiae,"8,154",4.3758e+31,556560000000.0,0.009428002425172855
61,P Cygni,"5,545",5.967e+31,52873200000.0,1.4245281931764575
62,VV Cephei,"4,900",3.61998e+31,521775000000.0,0.008874131090780881
63,61 Cygni,11.41,1.3923e+30,462640500.0,434.1419255394917
64,R Doradus,178,1.5912e+30,207318600000.0,0.00247078204999391
65,Polaris Australis,281,3.16251e+30,2601918000.0,31.176754176608036
66,R Coronae Borealis,"4,566",1.6906499999999997e+30,59134500000.0,0.032266960171714584
67,54 Piscium,36.1,1.51164e+30,653958000.0,235.9037604224493
68,Mira,300,2.3867999999999998e+30,257409000000.0,0.00240411244522636
69,RW Cephei,"14,000",2.76471e+31,805620600000.0,0.0028429856016179986
70,Lacaille 8760,12.87,1.1933999999999999e+30,354807000.0,632.685493563031
71,V838 Monocerotis,"19,896",9.945e+29,313065000000.0,0.0006772078060730221
72,HD 140283,190,3.978e+30,973979999.9999999,279.8664912852796
73,II Pegasi,130,1.5912e+30,2365380000.0,18.98056480689093
74,VY Canis Majoris,"3,900",3.3812999999999997e+31,987894000000.0,0.0023123267927061875
75,Pistol Star,"25,000",1.989e+32,222624000000.0,0.2678409779878652
76,S Doradus,"1,69,000",4.7736e+31,264366000000.0,0.04558490218164664
77,UY Scuti,"5,100",1.3923e+31,525253500000.0,0.0033680700499399458
78,Barnard's Star,5.98,2.7846e+29,139140000.0,959.9420651085089
79,Luhman 16,6.52,7.956e+28,13914000.0,27426.9161459574
80,Proxima Centauri,4.25,2.3868e+29,104355000.0,1462.7688611177277
81,KIC 8462852,"1,470",2.84427e+30,1099206000.0,157.10819615734286
82,R136a1,"1,63,000",5.7680999999999994e+32,22262400000.0,77.67388361648091
83,Melnick 42,"1,63,000",3.75921e+32,14679270000.000002,116.4324060911917
84,WR 102,"18,134",3.7791e+31,271323000.0,34261.104981800825
85,VFTS 352,"1,64,000",1.1432771999999998e+32,10066779000.0,75.29335961731135
86,YBP 1194,"2,772",2.00889e+30,688743000.0,282.6363157577489
87,Gliese 1214,47.5,3.1824e+29,146097000.0,995.0808579032163
88,NML Cygni,"5,251",9.945e+31,1321830000000.0,0.0037987418484705534
89,VB 10,18.72,1.4917499999999999e+29,69570000.0,2057.0187109468043
90,WOH G64,"1,63,000",3.978e+31,1113120000000.0,0.0021427278239029217
91,TRAPPIST-1,39.6,1.7702099999999997e+29,83484000.0,1695.1357895765334
92,2MASS J0523-1403,40.3,1.3923e+29,59830199.99999999,2595.841171196618
93,WISE 0855−0714,7.27,5.967e+27,59830199.99999999,111.25033590842646
94,Icarus,"14,40,00,00,000",6.5637e+31,139140000.0,226272.05820414852
95,SDSS J000013.54+255418.6 [de],46.1,9.113642553599999e+28,70777296.90900001,1214.200056936461
96,2MASS J00040288-6410358,192,3.6074835108e+28,116532317.133,177.29553270309606
97,2MASS J00242463-0158201,37.7,1.49995367028e+29,77926518.81899999,1648.5172507306947
98,2MASS J00274197+0503417,236,5.8858941492000005e+28,102948795.50400001,370.6432628229708
99,2MASSW J0030300-145033,87.2,1.02528478728e+29,70062374.71800001,1393.9943359838123
100,2MASS J00332386-1521309 [de],131,5.5061590427999995e+28,102233873.31300001,351.5971318717636
101,2MASS J00345157+0523050,31,7.974437234399999e+28,67202685.954,1178.4549471797166
102,2MASS 0036+1821,28.6,7.974437234399999e+28,67202685.954,1178.4549471797166
103,2MASSW J0045214+163445,57,4.3669537235999995e+28,115817394.942,217.2787267524544
104,WISEP J004701.06+680352.1 [fr],40,2.2784106383999997e+28,92939884.83000001,176.041046716483
105,2MASS J00501994-3322402 [de],34,7.594702128e+28,67202685.954,1122.3380449330632
106,2MASS J00584253-0651239 [de],96,5.5061590427999995e+28,102233873.31300001,351.5971318717636
107,2MASSI J0103320+193536,70,9.873112766399999e+28,70062374.71800001,1342.3649161325598
108,SDSSp J010752.33+004156.1 [de],51,9.873112766399999e+28,70062374.71800001,1342.3649161325598
109,2MASSI J0117474-340325 [de],163,3.797351064e+28,115817394.942,188.93802326300383
110,2MASS J01415823-4633574 [de],130,3.797351064e+28,115102472.751,191.292368446984
111,SDSS J015141.69+124429.6,70,8.9237750004e+28,69347452.527,1238.4366334263518
112,SDSS J020742.48+000056.2 [de],111,8.9237750004e+28,69347452.527,1238.4366334263518
113,2MASS J02103857-3015313,101,2.848013298e+28,109383095.22299999,158.86484308965376
114,2MASS J02340093-6442068,155,3.797351064e+28,115817394.942,188.93802326300383
115,2MASS J02411151-0326587 [de],152,5.1264239364e+28,100804028.93100001,336.7014134799189
116,2MASS J02431371−2453298,35,6.265629255599999e+28,70777296.90900001,834.7625391438166
117,LP 771-21,53,1.48096691496e+29,77211596.628,1657.9311541328584
118,Teegarden's star,12.578,1.5189404256e+29,90795118.257,1229.7078510792417
119,2MASS J02535980+3206373,184,1.2341390958e+29,135835216.29,446.40140770557866
120,WISE J0254+0223,24,1.2341390958e+29,135835216.29,446.40140770557866
121,DEN 0255-4700,16.2,1.5189404256e+29,69347452.527,2107.9772483852794
122,2MASS J03185403-3421292 [de],45,9.3035101068e+28,69347452.527,1291.1360646359838
123,2MASS J03205965+1854233,47,1.67083446816e+29,82216051.965,1649.7053854867902
124,2MASS J03231002-4631237,192,4.3669537235999995e+28,118677083.70599999,206.93362261908166
125,SDSS J032553.17+042540.1,59,8.544039894e+28,67917608.145,1236.1885136462176
126,2MASS J03264225-2102057 [de],80,3.4176159576e+28,92939884.83000001,264.0615700747245
127,2MASS J03284265+2302051 [de],98,1.02528478728e+29,70062374.71800001,1393.9943359838123
128,2MASS J03341218-4953322,27,1.3860331383599998e+29,74351907.864,1673.3068242582376
129,LP 944-20,20.9,1.3860331383599998e+29,102233873.31300001,885.0548491944393
130,2MASP J0345432+254023,88,1.40501989368e+29,75066830.055,1664.073567827919
131,Teide 1,380,1.0442715426e+29,270240588.198,95.43298113794582
132,2MASS J03510004-0052452,48,1.93664904264e+29,90795118.257,1567.8775101260333
133,2MASS J03552337+1133437,29.8,3.797351064e+28,94369729.212,284.5781383444831
134,2MASS J04151954−0935066,18.6,5.696026596e+28,67917608.145,824.1256757641451
135,2MASS J04285096-2253227 [de],85,1.5189404256e+29,77926518.81899999,1669.384557701969
136,2MASS J04351612-1606574,34,1.8986755319999998e+29,90080196.066,1561.6306004391133
137,2MASS J04362788-4114465,142,7.4048345748e+28,140839671.627,249.14464404913377
138,2MASS J04390101-2353083 [de],29.5,9.113642553599999e+28,69347452.527,1264.7863490311677
139,2MASS J04433764+0002040,82,4.1770861704e+28,127256149.99800001,172.14803783504922
140,2MASS J04455387-3048204 [de],42,1.21515234048e+29,71492219.1,1586.7166344045677
141,2MASS J04510093-3402150 [de],69,1.974623508e+27,5147439775.2,0.004973795867202517
142,2MASS J05002100+0330501 [de],44,1.21515234048e+29,71492219.1,1586.7166344045677
143,2MASS J05012406-0010452 [de],64,3.987218617199999e+28,98659262.358,273.38867657214803
144,2MASS J05160945-0445499 [de],73,8.9237750004e+28,69347452.527,1238.4366334263518
145,2MASS J0523−1403,40,1.2910993617600001e+29,72207141.291,1652.6678012497337
146,SDSS J053951.99-005902.0,41.62,1.1581920745199998e+29,72207141.291,1482.5402334740254
147,LSR 0602+3910 [de],34.6,5.3162914895999995e+28,100804028.93100001,349.1718362013974
148,2MASS J06085283-2753583,102,7.2149670216e+28,107953250.84099999,413.1893345369554
149,2MASS J06244595-4521548 [de],39,1.0632582979199999e+29,70777296.90900001,1416.5667330925376
150,2MASS J06411840-4322329 [de],65,1.27211260644e+29,72207141.291,1628.363862996061
151,DENIS-P J0652197-253450 [de],51,1.4240066489999998e+29,75066830.055,1686.5610484742424
152,2MASS J07075327-4900503,60,1.36704638304e+29,73636985.673,1682.5866846122526
153,UGPS J072227.51-054031.2,13.4,4.9365563831999995e+28,70062374.71800001,671.1824580662799
154,2MASSI J0727182+171001 [de],29.6,7.784569681199999e+28,67202685.954,1150.3964960563899
155,2MASS J07290002-3954043 [de],25.8,7.0250994684e+28,67202685.954,1038.1626915630836
156,SDSS J074201.41+205520.5 [de],49,8.1643047876e+28,67202685.954,1206.513398303043
157,DENIS-P J0751164-253043 [de],55,1.3480596277199998e+29,73636985.673,1659.2174251037488
158,2MASS J07522390+1612157,60,3.816338058e+27,4861470898.8,0.010776994467105179
159,DENIS J081730.0-615520,16.1,8.3541723408e+28,67202685.954,1234.5718494263697
160,2MASS J08251968+2115521 [de],35,9.873112766399999e+28,70062374.71800001,1342.3649161325598
161,SDSSp J083008.12+482847.4 [de],43,9.113642553599999e+28,70777296.90900001,1214.200056936461
162,LHS 2021,55,1.67083446816e+29,82216051.965,1649.7053854867902
163,SDSS J083048.80+012831.1 [de],77,8.733907447199999e+28,68632530.336,1237.4702484573381
164,2MASSI J0835425-081923 [de],23.53,1.1771788298400001e+29,71492219.1,1537.1317395794251
165,2MASSI J0847287-153237 [de],43,1.21515234048e+29,71492219.1,1586.7166344045677
166,2MASS J08533619-0329321,27.6,1.46198015964e+29,76496674.437,1667.4106478888943
167,2MASSI J0859254-194926 [de],50,9.493377659999999e+28,70062374.71800001,1290.7354962813076
168,2MASSI J0937347+293142,20,7.974437234399999e+28,67202685.954,1178.4549471797166
169,2MASS 0939−2448,17.4,6.0757617024e+28,67917608.145,879.0673874817548
170,2MASS J09490860-1545485 [de],59,9.3035101068e+28,68632530.336,1318.174829878469
171,2MASS J10073369-4555147,46,8.3541723408e+28,67202685.954,1234.5718494263697
172,2MASSI J1010148-040649 [de],55,9.6832452132e+28,70062374.71800001,1316.5502062069338
173,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.93100001,336.7014134799189
174,2MASSW J1036530-344138 [de],53,9.3035101068e+28,69347452.527,1291.1360646359838
175,2MASS J1047538+212423 [de],34.4,7.974437234399999e+28,67202685.954,1178.4549471797166
176,DEN 1048-3956,13.15,1.46198015964e+29,76496674.437,1667.4106478888943
177,Luhman 16B,6.516,8.1643047876e+28,72922063.482,1024.6782379282668
178,Luhman 16A,6.516,7.594702128e+28,72207141.291,972.157530146902
179,DENIS-P J1058.7−1548,49,1.21515234048e+29,71492219.1,1586.7166344045677
180,TWA 28,180,6.8352319152e+28,170866403.649,156.25218516002334
181,Cha 110913-773444,163,1.5189404256e+28,128685994.38000001,61.21591953721324
182,SDSS J111010.01+011613.1,63,1.7088079788e+28,88650351.684,145.11708292998327
183,2MASS J11145133−2618235,18.2,6.265629255599999e+28,68632530.336,887.7503956324381
184,TWA 26,137,5.696026596e+28,157282882.01999998,153.6721947060209
185,2MASS J11544223-3400390 [de],129,7.0250994684e+28,107238328.64999999,407.6980241178403
186,2MASSW J1155395-372735 [de],31,1.21515234048e+29,71492219.1,1586.7166344045677
187,2MASS J12074836-3900043,217,3.2277484044000003e+28,122251694.661,144.1372066665686
188,2MASSI J1217110-031113 [de],36,7.974437234399999e+28,67202685.954,1178.4549471797166
189,2M 1237+6526,45.6,7.784569681199999e+28,67202685.954,1150.3964960563899
190,TWA 29,262,3.797351064e+27,1787305477.5000002,0.07933583172022834
191,SDSSp J125453.90-012247.4 [de],38,8.9237750004e+28,70062374.71800001,1213.2913665044293
192,Kelu-1A,61,1.19616558516e+29,70062374.71800001,1626.3267253144477
193,Kelu-1B,61,1.1012318085599999e+29,70062374.71800001,1497.253175686317
194,2MASS J13204427+0409045,101,1.27211260644e+29,72207141.291,1628.363862996061
195,SDSSp J132629.82-003831.5 [de],65,9.6832452132e+28,69347452.527,1343.8354958456157
196,SDSSp J134646.45-003150.4 [de],48,8.3541723408e+28,67202685.954,1234.5718494263697
197,2MASS J13595510-4034582,51,1.19616558516e+29,71492219.1,1561.9241869919963
198,ULAS J141623.94+134836.3,29.7,6.0757617024e+28,68632530.336,860.8488684920613
199,SDSS J141659.78+500626.4 [de],149,1.12021856388e+29,70777296.90900001,1492.4542366510664
200,DENIS-P J142527.97-365023.4 [de],38,3.987218617199999e+28,94369729.212,298.80704526170723
201,LHS 2924,38.5,1.44299340432e+29,75781752.246,1676.9544351685863
202,2MASS J14392837+1929150,47,1.36704638304e+29,73636985.673,1682.5866846122526
203,LSPM J1440+1339,72,1.7467814894399998e+29,85075740.729,1610.6949805497954
204,2MASS J14482563+1031590 [de],47,1.12021856388e+29,70777296.90900001,1492.4542366510664
205,CFBDSIR 1458+10A,104,2.1075298803e+28,107238328.64999999,122.30940954396388
206,CFBDSIR 1458+10B,104,1.7088079788e+28,92939884.83000001,132.03078503736225
207,TVLM 513-46546,35.1,1.4240066489999998e+29,75066830.055,1686.5610484742424
208,2MASS 1503+2525,20.7,8.3541723408e+28,67202685.954,1234.5718494263697
209,CFBDS J150411+102717,71,8.3541723408e+28,67202685.954,1234.5718494263697
210,2MASSW J1506544+132106 [de],46,1.3100861170799998e+29,72922063.482,1644.2511259779164
211,2MASS 1507−1627,23.9,1.1392053192e+29,70777296.90900001,1517.750071170576
212,TVLM 868-110639,53,1.49995367028e+29,77211596.628,1679.1866817499465
213,2MASSW J1515008+484742 [de],34,1.08224505324e+29,70777296.90900001,1441.8625676120473
214,2MASSI J1526140+204341 [de],67,1.02528478728e+29,70062374.71800001,1393.9943359838123
215,DENIS-P J153941.96-052042.4 [de],51,1.19616558516e+29,71492219.1,1561.9241869919963
216,2MASS J15462718-3325111 [de],37,8.3541723408e+28,67202685.954,1234.5718494263697
217,2MASSW J1552591+294849 [de],68,5.696026596e+28,102233873.31300001,363.7211709018244
218,2MASSW J1555157-095605 [de],44,1.3480596277199998e+29,73636985.673,1659.2174251037488
219,2MASS J16150413+1340079 [de],48,7.974437234399999e+28,67202685.954,1178.4549471797166
220,SDSSp J162414.37+002915.6 [de],36,8.1643047876e+28,67202685.954,1206.513398303043
221,2MASS J16262034+3925190 [de],110,1.3480596277199998e+29,73636985.673,1659.2174251037488
222,2MASSW J1632291+190441 [de],50,9.3035101068e+28,69347452.527,1291.1360646359838
223,WISEPA J164715.59+563208.2,28,7.784569681199999e+28,67202685.954,1150.3964960563899
224,LSPM J1658+7027 [de],60,1.3860331383599998e+29,74351907.864,1673.3068242582376
225,2MASSI J1726000+153819,114,4.5568212767999995e+28,100089106.74,303.5809887253637
226,SDSSp J175032.96+175903.9,90,8.9237750004e+28,69347452.527,1238.4366334263518
227,2MASS J18283572-4849046,39,8.544039894e+28,67917608.145,1236.1885136462176
228,LSR J1835+3259,18.5,1.46198015964e+29,76496674.437,1667.4106478888943
229,2MASSW J1841086+311727,138,1.27211260644e+29,72207141.291,1628.363862996061
230,2MASS J18432213+4040209,46,1.8227285107199998e+29,87220507.302,1599.0828753069409
231,2MASS J20004841-7523070,105,4.7466888299999995e+28,134405371.908,175.36531952079116
232,SDSS J204749.61-071818.3,65,8.733907447199999e+28,68632530.336,1237.4702484573381
233,2MASSI J2057540-025230,47,1.3290728724000001e+29,72922063.482,1668.0808524413649
234,2MASSI J2104149-103736,62,1.3100861170799998e+29,72922063.482,1644.2511259779164
235,PSO J318.5−22,80,1.2341390957999999e+28,109383095.22299999,68.84143200551662
236,HB 2124-4228,113,1.78475500008e+29,86505585.111,1591.7560663764143
237,2MASS J21392676+0220226,32.1,8.733907447199999e+28,68632530.336,1237.4702484573381
238,2MASS J21481628+4003593,26.3,1.0442715426e+29,70777296.90900001,1391.270898573028
239,2MASSW J2206450-421721,93,4.1770861704e+28,95084651.403,308.3463412722992
240,2MASSW J2208136+292121,154,5.1264239364e+28,100804028.93100001,336.7014134799189
241,2MASSW J2224438-015852,38,1.1581920745199998e+29,70777296.90900001,1543.0459056900854
242,2MASS J22282889-4310262,35,7.974437234399999e+28,67202685.954,1178.4549471797166
243,2MASS J22373255+3922398,64,1.3860331383599998e+29,74351907.864,1673.3068242582376
244,2MASSW J2244316+204343,56,2.2784106383999997e+28,92224962.63900001,178.78094402431122
245,2MASS J23224684-3133231,56,4.5568212767999995e+28,99374184.549,307.9647729940028
246,2MASS J23225299-6151275,148,3.2277484044000003e+28,113672628.369,166.71476840857292
247,2MASS J23515044-2537367,67,1.67083446816e+29,82930974.156,1621.3847891693522
248,2MASSI J2356547-155310,74,1.5189404256e+29,77926518.81899999,1669.384557701969
249,WISE 0410+1502,20,1.1392053191999999e+28,83645896.347,108.6673127879525
250,WISE 0458+6434A,35.9,2.848013298e+28,300267320.22,21.082013105928027
251,WISE 0458+6434B,35.9,1.898675532e+28,271670432.58,17.169284911753024
252,WISE 1405+5534,25.3,5.696026596e+28,61483308.426,1005.6428101367509
